,ks,FDR,rank_FDR,rank_ks,average_rank
Fraud,1.0,1.0,540.0,540.0,540.0
card_zip_total_7,0.6769890105775964,0.6280752532561505,538.5,539.0,538.75
card_merch_total_7,0.6701627874370695,0.6237337192474675,536.0,537.0,536.5
card_zip_total_3,0.6667021540642593,0.6208393632416788,534.5,536.0,535.25
card_zip_total_14,0.6599668121976425,0.6280752532561505,538.5,531.0,534.75
card_merch_total_14,0.6610364422779151,0.6266280752532561,537.0,532.0,534.5
card_state_total_3,0.6624655241564674,0.6208393632416788,534.5,533.0,533.75
card_state_total_7,0.6642036201730785,0.5947901591895803,532.0,535.0,533.5
card_merch_total_3,0.6637728300248402,0.6078147612156295,533.0,534.0,533.5
card_state_total_14,0.6723423576605713,0.5340086830680174,525.5,538.0,531.75
card_zip_total_30,0.6561576781866713,0.5759768451519537,530.0,530.0,530.0
card_state_total_1,0.6436004592097443,0.5803183791606368,531.0,527.0,529.0
card_zip_total_1,0.6434284236069885,0.5701881331403763,529.0,526.0,527.5
card_merch_total_30,0.6462318538219559,0.5672937771345875,527.0,528.0,527.5
card_merch_total_1,0.6399006587323137,0.5687409551374819,528.0,525.0,526.5
card_state_total_0,0.5870347123062348,0.5340086830680174,525.5,508.0,516.75
card_state_max_7,0.6310554601249007,0.5021707670043415,512.0,520.0,516.0
card_merch_total_0,0.5851624423197166,0.5267727930535456,523.0,506.0,514.5
card_zip_max_30,0.6316818575802963,0.4934876989869754,507.0,521.0,514.0
card_zip_total_0,0.5868263509040617,0.5238784370477568,520.0,507.0,513.5
card_zip_max_14,0.6364400253595036,0.48480463096960924,502.0,524.0,513.0
card_state_max_14,0.6190418594072703,0.49782923299565845,509.0,515.0,512.0
card_merch_max_14,0.6330786424398811,0.4833574529667149,501.0,522.0,511.5
card_merch_max_30,0.6295495197994193,0.48191027496382055,500.0,519.0,509.5
card_transtype_total_3,0.5798264227766146,0.5209840810419681,518.5,499.5,509.0
card_state_total_30,0.6491135002496398,0.45875542691751087,489.0,529.0,509.0
Cardnum_total_3,0.5798264227766146,0.5209840810419681,518.5,499.5,509.0
card_zip_max_7,0.6336505289376949,0.4717800289435601,494.0,523.0,508.5
card_state_max_3,0.6251674086263135,0.4804630969609262,499.0,517.0,508.0
card_state_max_30,0.5898873114494579,0.492040520984081,505.0,509.0,507.0
card_merch_max_7,0.6269962968830127,0.4732272069464544,495.0,518.0,506.5
card_transtype_total_7,0.5838017606749939,0.4934876989869754,507.0,504.5,505.75
