,0
0,card_zip_total_7
1,card_state_total_3
2,card_merch_total_3
3,card_state_total_14
4,card_zip_total_30
5,card_state_total_1
6,card_zip_total_1
7,card_state_total_0
8,card_state_max_7
9,card_merch_total_0
10,card_merch_max_30
11,card_state_max_3
12,card_state_max_30
13,merch_state_total_0
14,merch_state_total_3
15,merch_zip_total_0
16,merch_transtype_max_0
17,merch_zip_total_3
18,card_transtype_total_1
19,merch_state_max_1
20,Merchnum_total_1
21,merch_transtype_total_3
22,card_state_max_0
23,card_transtype_max_7
24,card_zip_avg_30
25,Cardnum_total_14
26,Cardnum_max_3
27,card_transtype_max_3
28,Cardnum_max_14
29,card_state_avg_7
